,허가일자,상호,설비용량(KW),설치행정시,설치지역,원동력종류,사업개시일,구분,데이터기준일자,주소
457,2018.6.18,우리태양광발전소,496.8,제주시,조천읍,태양광,2019.5.28,육상,2020.1.20,제주시 조천읍
458,2018.5.31,우림 1 태양광발전소,199.92,서귀포시,서호동,태양광,2019.3.20,육상,2020.1.20,서귀포시 서호동
459,2018.2.13,우빈태양광발전소,99.0,제주시,애월읍,태양광,2019.2.1,육상,2020.1.20,제주시 애월읍
460,2014.12.4,우성태양광발전소,97.5,제주시,한경면,태양광,2017.9.14,없음,2020.1.20,제주시 한경면
461,2018.8.1,우일솔라 태양광발전소,463.32,서귀포시,표선면,태양광,2019.3.4,육상,2020.1.20,서귀포시 표선면
462,2014.4.7,우주태양광발전소,98.28,제주시,한림읍,태양광,2014.12.16,없음,2020.1.20,제주시 한림읍
463,2018.10.11,우진락 태양광발전소,99.75,서귀포시,대정읍,태양광,2019.8.19,육상,2020.1.20,서귀포시 대정읍
464,2017.2.9,운수태양광발전소,299.15,제주시,구좌읍,태양광,2017.12.7,없음,2020.1.20,제주시 구좌읍
465,2018.7.9,웅임태양광발전소,99.53,제주시,한림읍,태양광,2019.9.23,지붕형,2020.1.20,제주시 한림읍
466,2017.9.1,웅태양광발전소,99.28,서귀포시,표선면,태양광,2018.3.28,육상,2020.1.20,서귀포시 표선면
467,2012.11.16,원선2호태양광발전소,260.0,서귀포시,성산읍,태양광,2018.12.31,없음,2020.1.20,서귀포시 성산읍
468,2014.6.30,원선태양광발전소,98.0,서귀포시,남원읍,태양광,2015.4.18,없음,2020.1.20,서귀포시 남원읍
469,2019.7.9,원천 태양광발전소,99.53,제주시,애월읍,태양광,2019.12.11,육상,2020.1.20,제주시 애월읍
470,2017.9.29,월림에너지태양광발전소,99.0,제주시,한림읍,태양광,2019.3.11,육상,2020.1.20,제주시 한림읍
471,2017.8.12,월림햇빛발전소,99.2,제주시,한림읍,태양광,2018.5.10,육상,2020.1.20,제주시 한림읍
472,2018.8.1,월산 1 태양광발전소,99.36,서귀포시,남원읍,태양광,2019.8.23,육상,2020.1.20,서귀포시 남원읍
